,Country,Model,Price,Km,Year,Power_Hd,Fuel,Gearbox,CO2,Consumption
0,NL,MINI Cooper,1999.0,161090 ,2004,116 hp,Gasoline,Manual,165 ,6.8 
1,NL,MINI Cooper,2299.0,212687 ,2004,116 hp,Gasoline,Manual,166 ,6.9 
2,NL,MINI Cooper,2950.0,227706 ,2002,116 hp,Gasoline,Manual,163 ,6.7 
3,NL,MINI Cooper S,3499.0,178538 ,2004,163 hp,Gasoline,Manual,202 ,8.4 
4,NL,MINI One,3499.0,185865 ,2002,90 hp,Gasoline,Automatic,187 ,7.7 
5,NL,MINI One,3850.0,147025 ,2005,90 hp,Gasoline,Manual,164 ,6.8 
6,NL,MINI One,3944.0,189421 ,2009,75 hp,Gasoline,Manual,- (,- (
7,NL,MINI Cooper,3999.0,183219 ,2007,120 hp,Gasoline,Manual,139 ,- (
8,NL,MINI Cooper,4250.0,183488 ,2004,116 hp,Gasoline,Manual,165 ,6.8 
9,NL,MINI One,4450.0,149503 ,2005,90 hp,Gasoline,Manual,- (,- (
10,NL,MINI Cooper D,4745.0,253914 ,2008,109 hp,Diesel,Manual,104 ,3.9 
11,NL,MINI Cooper D,4945.0,195027 ,2008,109 hp,Diesel,Manual,104 ,3.9 
12,NL,MINI Cooper,4945.0,171826 ,2006,116 hp,Gasoline,Manual,166 ,6.9 
13,NL,MINI Cooper,4950.0,135510 ,2007,120 hp,Gasoline,Manual,139 ,- (
14,,,,,,116 hp,,,,
15,NL,MINI Cooper,5750.0,115985 ,2005,120 hp,Gasoline,Automatic,187 ,- (
16,NL,MINI Cooper,5750.0,121823 ,2007,116 hp,Gasoline,Manual,139 ,5.8 
17,,,,,,120 hp,,,,
18,NL,MINI Cooper Cabrio,6999.0,162131 ,2007,75 hp,Gasoline,Manual,174 ,7.3 
19,NL,MINI Cooper,7445.0,127157 ,2008,90 hp,Gasoline,Automatic,156 ,6.5 
20,NL,MINI One,7790.0,153621 ,2013,120 hp,Gasoline,Manual,121 ,5.2 
21,NL,MINI One,7945.0,56733 ,2004,163 hp,Gasoline,Automatic,187 ,7.7 
22,NL,MINI Cooper Cabrio,7949.0,159076 ,2009,174 hp,Gasoline,Manual,137 ,5.7 
23,NL,MINI Cooper S,7950.0,124239 ,2003,163 hp,Gasoline,Manual,- (,8.4 
24,NL,MINI Cooper S Clubman,8445.0,137595 ,2008,184 hp,Gasoline,Manual,150 ,6.3 
25,NL,MINI Cooper S Cabrio,8445.0,110393 ,2006,122 hp,Gasoline,Manual,211 ,8.8 
26,NL,MINI Cooper S Clubman,8950.0,231555 ,2011,98 hp,Gasoline,Manual,137 ,5.9 
27,NL,MINI Cooper,8950.0,156117 ,2010,175 hp,Gasoline,Manual,140 ,6 
28,,,,,,184 hp,,,,
29,NL,MINI One Clubman,10945.0,118030 ,2012,143 hp,Gasoline,Manual,129 ,5.5 
30,NL,MINI Cooper S Cabrio,10950.0,131805 ,2009,102 hp,Gasoline,Manual,153 ,6.6 
31,NL,MINI Cooper S,10950.0,129995 ,2013,122 hp,Gasoline,Manual,137 ,5.9 
32,NL,MINI Cooper,11240.0,164268 ,2012,184 hp,Diesel,Automatic,160 ,- (
33,NL,MINI Cooper,11385.0,64015 ,2015,136 hp,Gasoline,Manual,108 ,4.6 
34,NL,MINI Cooper,11400.0,73591 ,2011,184 hp,Gasoline,Manual,127 ,5.4 
35,NL,MINI Cooper Countryman,11745.0,158848 ,2011,122 hp,Gasoline,Manual,143 ,6.1 
36,,,,,,122 hp,,,,
37,NL,MINI Cooper,11900.0,162624 ,2014,136 hp,Gasoline,Manual,105 ,4.5 
38,NL,MINI Cooper S Countryman,11945.0,141909 ,2013,95 hp,Gasoline,Manual,143 ,6.1 
39,NL,MINI Cooper,11950.0,78985 ,2010,122 hp,Gasoline,Automatic,150 ,6.4 
40,NL,MINI Cooper Clubman,11950.0,74959 ,2012,136 hp,Gasoline,Manual,129 ,5.5 
41,NL,MINI Cooper,11999.0,142758 ,2014,184 hp,Gasoline,Manual,105 ,4.5 
42,NL,MINI One,12450.0,28263 ,2009,184 hp,Gasoline,Automatic,155 ,6.5 
43,NL,MINI Cooper,12900.0,23910 ,2011,98 hp,Gasoline,Manual,127 ,5.4 
44,NL,MINI Cooper,12940.0,143922 ,2017,102 hp,Gasoline,Manual,107 ,4.6 
45,NL,MINI Cooper S,12945.0,101898 ,2013,122 hp,Gasoline,Manual,136 ,5.8 
46,NL,MINI Cooper Countryman,12945.0,131770 ,2012,136 hp,Gasoline,Manual,157 ,- (
47,,,,,,184 hp,,,,
48,NL,MINI One Countryman,14350.0,94291 ,2015,75 hp,Gasoline,Manual,134 ,5.7 
49,NL,MINI One,14350.0,48350 ,2018,211 hp,Gasoline,Manual,111 ,4.6 
50,NL,MINI Cooper Paceman,14400.0,116113 ,2014,122 hp,Gasoline,Manual,140 ,6 
51,NL,MINI Cooper,14550.0,63305 ,2016,98 hp,Gasoline,Manual,105 ,4.5 
52,NL,MINI Cooper S Paceman,14550.0,63417 ,2013,143 hp,Gasoline,Manual,157 ,6.7 
53,NL,MINI Cooper,14650.0,112908 ,2018,136 hp,Gasoline,Manual,- (,0 
54,NL,MINI John Cooper Works,14650.0,105462 ,2012,136 hp,Gasoline,Manual,165 ,6.6 
55,NL,MINI Cooper Coupe,14750.0,34583 ,2015,102 hp,Gasoline,Manual,127 ,5.4 
56,NL,MINI One Countryman,14845.0,105653 ,2015,102 hp,Gasoline,Manual,134 ,5.7 
57,NL,MINI Cooper Countryman,14845.0,134751 ,2013,122 hp,Diesel,Automatic,150 ,5.7 
58,NL,MINI Cooper,14945.0,155238 ,2016,192 hp,Gasoline,Manual,105 ,4.5 
59,NL,MINI Cooper,14945.0,81909 ,2015,184 hp,Gasoline,Manual,111 ,4.8 
60,NL,MINI One,15090.0,42218 ,2017,184 hp,Gasoline,Manual,109 ,- (
61,NL,MINI One,15350.0,22015 ,2015,136 hp,Gasoline,Manual,0 ,4.6 
62,NL,MINI Cooper Cabrio,15439.0,43531 ,2014,102 hp,Gasoline,Manual,133 ,5.7 
63,NL,MINI Cooper S,15790.0,99331 ,2015,102 hp,Gasoline,Manual,136 ,5.8 
64,NL,MINI Cooper S Countryman,15895.0,39781 ,2012,136 hp,Gasoline,Automatic,166 ,7.1 
65,NL,MINI Cooper S Cabrio,15940.0,79996 ,2012,122 hp,Gasoline,Manual,139 ,6 
66,NL,MINI,15990.0,109251 ,2016,192 hp,Gasoline,Manual,105 ,- (
67,NL,MINI One,16390.0,53027 ,2018,192 hp,Gasoline,Manual,111 ,- (
68,NL,MINI One,16450.0,88375 ,2018,102 hp,Gasoline,Manual,112 ,4.9 
69,NL,MINI Cooper Clubman,16500.0,133014 ,2016,136 hp,Gasoline,Manual,121 ,5.2 
