,Country,Model,Price,Km,Year,Power_Hd,Fuel,Gearbox,CO2,Consumption
0,FR,MINI Cooper S Countryman,11990.0,97000 ,2013,184 hp,Gasoline,Manual,166 ,7.1 
1,FR,MINI One D,12890.0,106402 ,2018,- hp,Diesel,Manual,- (,- (
2,FR,MINI Cooper D,13950.0,106245 ,2014,114 hp,Diesel,Manual,129 ,- (
3,FR,MINI,13990.0,42344 ,2012,184 hp,Gasoline,Automatic,153 ,- (
4,FR,MINI One,14490.0,75153 ,2018,- hp,Gasoline,Manual,- (,- (
5,FR,MINI,14590.0,94000 ,2012,184 hp,Gasoline,Manual,139 ,- (
6,FR,MINI Cooper S Roadster,14900.0,107000 ,2012,184 hp,Gasoline,Manual,- (,- (
7,FR,MINI,14990.0,23662 ,2017,75 hp,Gasoline,Manual,118 ,5.1 
8,FR,MINI,15125.0,50445 ,2018,75 hp,Gasoline,Manual,111 ,4.9 
9,FR,MINI Cooper,15390.0,57294 ,2015,136 hp,Gasoline,Manual,109 ,4.7 
10,FR,MINI One D,15499.0,59273 ,2018,97 hp,Diesel,Manual,97 ,- (
11,FR,MINI One,15990.0,16779 ,2019,- hp,Gasoline,Manual,122 ,- (
12,FR,MINI Cooper,16490.0,29000 ,2016,136 hp,Gasoline,Manual,105 ,- (
13,FR,MINI Cooper,16990.0,24580 ,2016,- hp,Gasoline,Manual,- (,- (
14,FR,MINI,17350.0,72705 ,2018,136 hp,Gasoline,Automatic,109 ,4.6 
15,FR,MINI One D,17490.0,39000 ,2019,95 hp,Diesel,Manual,99 ,3.8 
16,FR,MINI Cooper D,17500.0,87798 ,2018,- hp,Diesel,Manual,- (,- (
17,FR,MINI,17775.0,11065 ,2017,136 hp,Gasoline,Manual,109 ,4.6 
18,FR,MINI Cooper,17800.0,34500 ,2016,137 hp,Gasoline,Automatic,109 ,- (
19,FR,MINI Cooper,17999.0,72922 ,2015,- hp,Gasoline,Automatic,- (,- (
20,FR,MINI,18450.0,48435 ,2019,136 hp,Diesel,Manual,117 ,5.4 
21,FR,MINI Cooper,18490.0,96451 ,2018,- hp,Gasoline,Automatic,- (,- (
22,FR,MINI Cooper D,18499.0,30313 ,2015,114 hp,Diesel,Manual,105 ,- (
23,FR,MINI,18525.0,50133 ,2018,116 hp,Diesel,Automatic,103 ,3.9 
24,FR,MINI,18700.0,52477 ,2018,102 hp,Gasoline,Automatic,119 ,5.1 
25,FR,MINI,18900.0,18064 ,2019,102 hp,Gasoline,Manual,122 ,5.4 
26,FR,MINI,19300.0,24918 ,2019,102 hp,Gasoline,Automatic,119 ,5.2 
27,FR,MINI One,19499.0,47261 ,2017,103 hp,Gasoline,Manual,116 ,- (
28,FR,MINI Cooper S,19675.0,97294 ,2016,- hp,Gasoline,Automatic,- (,- (
29,FR,MINI John Cooper Works,19890.0,81435 ,2019,- hp,Gasoline,Manual,- (,- (
30,FR,MINI Cooper,19890.0,64324 ,2017,- hp,Gasoline,Automatic,114 ,- (
31,FR,MINI One,19890.0,39185 ,2018,- hp,Gasoline,Manual,- (,- (
32,FR,MINI One Cabrio,19990.0,55140 ,2016,98 hp,Gasoline,Automatic,154 ,6.6 
33,FR,MINI Cooper D,19990.0,29894 ,2017,- hp,Diesel,Manual,- (,- (
34,FR,MINI Cooper,20399.0,58172 ,2018,- hp,Gasoline,Manual,- (,- (
35,FR,MINI One,20490.0,39921 ,2018,- hp,Gasoline,Automatic,- (,- (
36,FR,MINI Cooper S,20499.0,65940 ,2017,194 hp,Gasoline,Manual,139 ,- (
37,FR,MINI Cooper,20990.0,58851 ,2018,- hp,Gasoline,Manual,- (,- (
38,FR,MINI Cooper S,20999.0,85095 ,2016,194 hp,Gasoline,Automatic,125 ,- (
39,FR,MINI One,21199.0,22495 ,2019,- hp,Gasoline,Manual,- (,- (
40,FR,MINI,21750.0,18400 ,2019,102 hp,Gasoline,Manual,127 ,5.6 
41,FR,MINI One,21999.0,30673 ,2019,- hp,Gasoline,Automatic,- (,- (
42,FR,MINI,22125.0,6680 ,2020,136 hp,Gasoline,Manual,122 ,5.4 
43,FR,MINI Cooper D,22399.0,31006 ,2018,- hp,Diesel,Manual,- (,- (
44,FR,MINI Cooper D,22490.0,55050 ,2019,- hp,Diesel,Automatic,- (,- (
45,FR,MINI Cooper SD,22900.0,74788 ,2018,- hp,Diesel,Automatic,- (,- (
46,FR,MINI,22925.0,22998 ,2020,102 hp,Gasoline,Manual,134 ,5.9 
47,FR,MINI John Cooper Works,22990.0,73944 ,2016,231 hp,Gasoline,Automatic,150 ,6.6 
48,FR,MINI Cooper,22990.0,17000 ,2019,- hp,Gasoline,Automatic,- (,- (
