,Country,Model,Price,Km,Year,Power_Hd,Fuel,Gearbox,CO2,Consumption
0,DE,BMW X5,9850.0,204831 ,2006,218 hp,Diesel,Automatic,- (,0 
1,DE,BMW X5,16899.0,230000 ,2012,408 hp,Gasoline,Automatic,0 ,0 
2,DE,BMW X5,16950.0,135011 ,2010,407 hp,Gasoline,Automatic,296 ,12.5 
3,DE,BMW X5,16995.0,198000 ,2010,286 hp,Diesel,Automatic,237 ,9 
4,DE,BMW X5,19999.0,152055 ,2012,245 hp,Diesel,Automatic,196 ,7.4 
5,DE,BMW X5,24995.0,125758 ,2011,408 hp,Gasoline,Automatic,296 ,12.5 
6,DE,BMW X5,25999.0,119042 ,2013,306 hp,Diesel,Automatic,199 ,7.5 
7,DE,BMW X5,26990.0,189370 ,2015,258 hp,Diesel,Automatic,195 ,7.4 
8,DE,BMW X5,29780.0,256800 ,2017,231 hp,Diesel,Automatic,146 ,5.6 
9,DE,BMW X5,32990.0,136467 ,2014,258 hp,Diesel,Automatic,156 ,5.9 
10,DE,BMW X5,34900.0,128200 ,2015,313 hp,Diesel,Automatic,159 ,6 
11,DE,BMW X5,36999.0,57813 ,2014,258 hp,Diesel,Automatic,162 ,6.2 
12,DE,BMW X5,36999.0,124500 ,2017,258 hp,Diesel,Automatic,183 ,6.9 
13,DE,BMW X5,37500.0,135000 ,2014,258 hp,Diesel,Automatic,183 ,6.9 
14,DE,BMW X5,37900.0,137709 ,2015,258 hp,Diesel,Automatic,156 ,5.9 
15,DE,BMW X5,40499.0,85648 ,2015,313 hp,Diesel,Automatic,157 ,6 
16,DE,BMW X5,40995.0,64855 ,2018,231 hp,Diesel,Automatic,139 ,5.3 
17,DE,BMW X5,41440.0,56842 ,2017,258 hp,Diesel,Automatic,158 ,6 
18,DE,BMW X5,41980.0,126723 ,2018,258 hp,Diesel,Automatic,183 ,7 
19,DE,BMW X5,41995.0,74573 ,2016,258 hp,Diesel,Automatic,156 ,5.9 
20,DE,BMW X5,41995.0,61015 ,2018,231 hp,Diesel,Automatic,146 ,5.6 
21,DE,BMW X5,43400.0,54981 ,2018,231 hp,Diesel,Automatic,139 ,5.3 
22,DE,BMW X5,44499.0,79022 ,2018,258 hp,Diesel,Automatic,183 ,7 
23,DE,BMW X5,46449.0,116450 ,2018,313 hp,Diesel,Automatic,183 ,6.9 
24,DE,BMW X5,48440.0,41561 ,2018,258 hp,Diesel,Automatic,183 ,6.9 
25,DE,BMW X5,48900.0,62255 ,2018,258 hp,Diesel,Automatic,162 ,6.2 
26,DE,BMW X5,48995.0,63012 ,2018,258 hp,Diesel,Automatic,183 ,6.9 
27,DE,BMW X5,49995.0,44416 ,2018,245 hp,Electric/Gasoline,Automatic,77 ,3.3 
